,genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count,keyword,est_date
85,"[18, 10770, 35]",187302,"The story revolves around the problems of married people in (Egypt) from the economic and social aspects, where the poor young man (Masoud) falls in love with the aristocratic girl (Lina), and marries her despite her father's refusal. The simple poor life experience with her husband, whom she loves, her father tries to pressure her by various means, including threatening to deprive her of the inheritance, but she is determined to stay with her husband, Masoud asks Lina to move with her to her father's villa in order to get out of the difficult life he lives in rented home.",1.258,1981-04-19,The Married Couples,9.1,8,['Egypt'],[-3150]
86,"[18, 36, 10749]",106385,"Octavius Caesar (later renamed Augustus Caesar, son of the murdered Julius Caesar), Marc Antony, and Lepidus form the triumvirate, the three rulers of the Roman Empire. Antony, though married to Fulvia, spends his time in Egypt, living a life of decadence and conducting an affair with Queen Cleopatra. In Antony's absence, Caesar and Lepidus worry about Pompey's increasing strength.",1.045,1981-05-08,Antony & Cleopatra,6.3,3,"['Egypt', 'Cleopatra', 'Roman Empire']","[-3150, -51, -27]"
87,[18],119913,"The bitter Trojan War drags on - the Greeks blame Achilles' apathy for low morale, while Troy's hero Hector challenges one of the enemy to a personal duel. And after her father exchanges Cressida for a Trojan prisoner, the war becomes personal for her distraught lover Troilus.",1.034,1981-11-07,Troilus & Cressida,8.0,1,['Achilles'],[-1300]
88,"[12, 18]",62204,"A colossal adventure odyssey that turns back the hands of time to the very beginning of man's existence. 80,000 years ago, when man roamed the earth, he was exposed to the many harsh elements of nature. Against the perilous atmosphere of rugged terrain, rival tribes and savage beasts, Quest for Fire examines a peaceful tribe's search for that all important element fire, and the knowledge to create it. Focusing on human dream as well as realistic insights into pre-historic man, the constant struggle for survival is vividly recreated in this sensational production.",10.253,1981-12-16,Quest for Fire,7.1,354,['pre-historic'],[-10000]
89,[35],11441,"Cristina is a rich, spoiled princess visiting Rome with her royal parents. The mission of their visit is to marry her off to a super-wealthy corporate type and thereby start to turn around the losses their small kingdom is experiencing in its casino business. These less-than-noble intentions get derailed when Barnaba, a zany bus driver enters their lives and falls madly in love with the gorgeous Cristina. He is nuts enough to succeed in this romantic chase after royalty, as love seems to fuel his determination to rid Cristina of her elitism and to make her see his own irrepressible attractions.",6.655,1981-12-18,Madly in Love,6.6,187,['Rome'],[-753]
90,[35],162056,"Rome, 1960. Four different people meet each other at the Olympics. They follow the games and become friends, talking about their sad lifes.",1.221,1981-12-30,Il minestrone,6.6,9,['Rome'],[-753]
91,[53],377386,"Catherine is a young and sexually liberated girl with a boyish figure who lives with her older boyfriend Carlo, the author of erotic novels, in a seaside villa. There is also a maid there, with whom Catherine dallies on the side, lighting a fire under Carlo's creativity. A photographer named Ian is determined to take provocative nude photos of Catherine and, when Carlo is summoned to Rome on business, it seems his chance has come.",0.951,1982-07-05,Catherine Chérie,7.5,2,['Rome'],[-753]
92,[35],49398,"In antique Rome, a simple pepboy for chars becomes involved in a coup against Cesar. Rahatlocum is a North African Roman colony where Julius Caesar came to spend an expensive holiday. The revolt rumbles among the small people who find a leader in the person of Ben-Hur Marcel.",7.084,1982-10-06,Quarter to Two Before Jesus Christ,6.3,130,['Rome'],[-753]
93,[35],239795,In Rome a man needing money become a transvestite prostitute,0.769,1982-11-27,Più bello di così si muore,4.0,4,['Rome'],[-753]
94,"[18, 10749, 10770]",106397,"Cymbeline, the King of Britain, is angry that his daughter Imogen has chosen a poor (but worthy) man for her husband. So he banishes Posthumus, who goes to fight for Rome. Imogen (dressed as a boy) goes in search of her husband, who meanwhile has boasted to his pal Iachimo that Imogen would never betray him. And Iachimo's determined to prove him wrong.",1.609,1982-12-20,Cymbeline,8.7,3,['Rome'],[-753]
95,[35],64162,The happenings of a bar in Colonial Egypt.,0.6,1983-01-01,Gate Five,5.0,3,['Egypt'],[-3150]
96,[18],177076,"Now Titus' father has died, the new emperor will be free to marry his beloved Bérénice. Also In love with Bérénice, Titus' friend Antiochus plans to flee Rome rather than face the marriage. However, public opinion about the pairing causes Titus to choose his duty to Rome over his love for Bérénice, and he sends his love rival to tell Bérénice the news...",0.89,1983-01-02,Bérénice,5.5,6,['Rome'],[-753]
97,[18],244790,"'The subject of this film is the conversation between a man and a woman. A couple, maybe lovers, maybe married, it doesn't matter. (...) During this conversation, we do not see but the city of Rome. I wanted to transmit that what Rome provokes in me, the feeling of an intrinsic matter, indissoluble, in difference with Paris, made of small parks and open spaces, crossed by the sky and the wind. Hand in hand with the film, the difficulty of the two lovers assumes a clearer, more explicit form. But as much as, in my opinion, it is impossible to describe and film Rome, the difficulty in the love of a couple can never be totally understood.'  - Marguerite Duras, Venice film festival catalogue, 1982.",1.019,1983-02-23,Roman Dialogue,5.7,3,['Rome'],[-753]
98,"[18, 10749, 35]",407665,"Mamdouh meets with Hanan on a ship heading to Greece, and a romance starts between them, so Mamdouh proposes to Hanan. To his surprise, Hanan returns suddenly to Egypt and asks him not to try to find her again. Mamdouh returns to Egypt to find that she is married to Ezzat Beik, a very powerful man, and a war ensues between Mamdouh and Ezzat.",0.6,1984-06-30,Two on the Road,6.3,3,['Egypt'],[-3150]
99,"[18, 10770]",119925,"When Pericles discovers the dread answer to Antioch's riddle, he flees for his life straight into famine, shipwreck, love, fatherhood, and another shipwreck; he loses his wife and daughter, and doesn't find them again until the story moves us through resurrection, attempted murder, pirates, prostitution, and divine revelation.",2.043,1984-12-08,"Pericles, Prince of Tyre",7.0,1,['Pericles'],[-461]
100,"[35, 18, 10749]",272165,"This is based on a true story. Solomon Northrop is a black man in the mid 19th century before slavery was abolished. He's a born freeman who works as a carpenter and is also a part time musician. One day he is approached by some men who want him to play for them. However, that is not their intention; they have kidnapped him and sold him into slavery. Now he has to endure the hardships that he has been spared because of his status as a freeman. And his family who don't know what happened to him is searching for him but where do they go? And Solomon also wishes to let them know where he is so that they could get him but unfortunately no one believes his story or is willing to help him.",1.407,1984-12-11,Solomon Northup's Odyssey,6.3,3,['Solomon'],[-970]
101,"[35, 18, 10749]",25010,"Brooklyn teenager Jeffrey Willis, thoroughly unhappy with his modest homestead, embraces the other-world aspects of his summer job at the posh Flamingo Club. He spurns his father in favor of the patronage of smooth-talking Phil Brody and is seduced by the ample bikini charms of club member Carla Samson. But thanks to a couple of late-summer hard lessons, the teen eventually realizes that family should always come first.",3.752,1984-12-21,The Flamingo Kid,6.3,54,['Samson'],[-1118]
102,[18],106548,"Gory indonesian version of ""Samson & Dalilah"", starring Suzanna, the indonesian scream queen and directed by Sisworo Gautama Putra (the psycho who made Jaka Sembung, among others). In fact, this works like a rip off of Jaka Sembung but with Samson instead of Jaka. Gore and cheesyness for everybody!!!",1.02,1985-01-01,Samson Dan Delilah,5.0,2,['Samson'],[-1118]
103,[],232043,"The film that established Abdel Sayed as a pioneer of New Realism in Egyptian cinema tells the story of two friends who rose from the bottom to the top of society through suspicious dealmaking, in a story full of love, anger, and betrayal.",0.6,1985-02-08,The Vagabonds,5.0,1,['Egypt'],[-3150]
104,[18],119914,"Having subdued the Goths, warrior Titus Andronicus returns to Rome to bury his sons, with Gothic Queen Tamora and her retinue as captives. The newly-dead Roman Emperor's two sons, Saturninus and Bassianus, are competing for their father's title. According to Roman custom, Titus sacrifices Tamora's eldest son to the Gods; having the deciding vote, he also chooses Saturninus as Emperor. Both acts have tragic consequences.",1.36,1985-04-25,Titus Andronicus,8.0,3,['Rome'],[-753]
105,[10749],326088,"Caesar brings the Egyptian queen Cleopatra to Rome, but their intense passion for each other has started to cool. As others prepare seek to bring about a conspiracy against Caesar and Cleopatra, every night Cleopatra begins to dream the same dream: her former lover is killed by his close associates. Her high priest states that the dream is one of prophecy, and no action can stop the march of events. Despite this, the Egyptian queen sends her messengers to Caesar, seeking to warn him that the fatal wounds will be inflicted by Brutus.",4.457,1985-07-24,The Erotic Dreams of Cleopatra,7.2,3,"['Egypt', 'Rome', 'Cleopatra']","[-3150, -753, -51]"
106,[35],38310,"In the barracks of the ""Settecamini"" fire brigade in Rome, the shabby Squadra 17 tackles missions with resounding failures, waiting in vain for a chance for redemption.",6.314,1985-10-25,Firefighters,5.8,226,['Rome'],[-753]
107,[],418138,"Zammar Hassan is a young man chased after he was a student in the Faculty of Engineering and presented a play that did not live up to the authorities with the representation team in the college, moving from village to village in Upper Egypt, in search of safety and stability, and settled in the village (Araba) vendor in a grocery store.",0.6,1985-12-24,The Piper,7.0,1,['Egypt'],[-3150]
108,[18],263681,"Ahasverus, king of Persia and Media, puts aside Vashti and makes Esther his queen, choosing her among maidens in a kingdom stretching from India to Ethiopia. Esther, using information from Mordecai, her uncle and patron, saves the king from assassination. Haman, the king's favorite, is miffed when Mordecai won't bow to him, so he orders death to all Jews in the kingdom, under the seal of the king. Esther pleads for her people, and Mordecai is in turn given license to make his own edict under the king's seal. Mordecai loses sight of his original intention, and bloody murder ensues. Purim annually celebrates the story. At the end of the film, the actors comment.",0.99,1986-01-01,Esther,5.8,4,['Persia'],[-550]
109,"[28, 12, 35]",12715,A pair of adventurers try to track down an ancient Aztec/Mayan/Egyptian/Apache horde of gold.,9.003,1986-11-21,Firewalker,5.4,118,['Egypt'],[-3150]
110,[18],193322,"Egypt, 1947: in the midst of a cholera outbreak. A washerwoman tries to take care of her family, while at the same time resisting the advances of a charming suitor who's half her age.",1.311,1986-12-03,The Sixth Day,4.8,6,['Egypt'],[-3150]
111,[35],44417,"Hector's parents sent him to an orphanage in treatment for smallpox but... they never picked him up. 35 years later, he still lives in the orphanage, surrounded by children, his playmates. Till a forgotten aunt remembers that he exists. She'll get him to participate in the bakery of her husband, Achilles, to work. Hector shows his skills on the basis of unexpected inventions. So he helps Jos, the son of Achilles, to accomplish his dream to be a cycling champion. Hector's good humor and childlike manner overcomes all resistance and pulls his entire entourage along on the path to success. From now on he can learn what love is...",1.276,1987-01-01,Hector,6.6,12,['Achilles'],[-1300]
112,[10402],207221,"The opening of China to the West has produced images that focus on the more obvious: the Great Wall, the Forbidden City, the tombs of Sian. But there is another much larger part of China which we have not seen. It's the China of people, its rhythms, its patterns, its colors. This video brings us to the large and timeless world of life in China, as it is lived now and has been for centuries - vast, unchanging, and slightly mysterious. Here is but a glimpse of this other world. This dreamvideo was filmed during the months of October and November of 1986 in and around the following cities and locations: Beijing, Chengdu, Guiyang, Guilin, Yangshuo, Xingping, Yangai, Nanjing, Huangshan Mountain and Hefei.",0.6,1987-01-01,Windham Hill: China,5.5,1,['Great Wall'],[-220]
113,[28],341839,Ninja Over the Great Wall takes place in the early nineteen-thirties when China was occupied by the Japanese imperial forces. Wa Chi Keung is a peasant who escaped the mass murder of his village by the Japanese. He joins his master in Bejing shortly before the old man's assassination by ninjas.,0.617,1987-05-08,Fire on the Great Wall,4.8,5,['Great Wall'],[-220]
114,"[10751, 35, 18]",502444,"Abdel Samea goes to Egypt with his wife and children looking for a job so he works as a doorman, and by being smart he works as a broker until he makes a lot of money",0.71,1987-08-13,The Bey Doorman,6.0,4,['Egypt'],[-3150]
115,[28],559479,Olympian gods watch the Earth and resolve to fight a group of terrorists who stole a diskette containing a secret that can destroy the world.,0.93,1988-01-01,Olympus Force: The Key,4.0,1,['Olympia'],[-776]
116,"[35, 10751]",532361,The brothers came back to meet their wishes immediately and each asked for a wish from the Sprite. Troy in which the thoughts and dreams that come to humans in the context of comedy.,0.6,1988-01-13,Hallucinations,8.0,1,['Troy '],[-3000]
117,"[28, 10752]",154397,"Lewis Collins is back to leading mercenaries on the move in Southeast Asia. This time the cast is unusually good including Lee Van Cleef, Brett Halsey (Cop Game), Romano Puppo (Robowar), Mike Monty (Raiders of Atlantis), Bobby Rhodes (The Great Alligator), etc. Anyway, Van Cleef has Collins go on some random mission to locate a disc with all sorts of valuable crazy intelligence data on it. It just happens that Donald Pleasence, a random government official, hires another mercenary-for-hire Manfred Lehman to tag along and make sure the data ends up in the right hands. Van Cleef isn't taking any chances, and since he is crooked and murders Collins's other bosses quickly, he places Romano Puppo in the group as well to make sure the operation runs smoothly. Collins may not be too expressive but at least he seems to figure out quickly who's out to get him, so the mission continues with lots of double-crosses, twists and turns, and of course lots of explosions!",2.189,1988-04-28,The Commander,5.5,10,['Rhodes'],[-292]
118,[18],121277,"Biography of the life of Aristotle Onassis, a Greek who rose to become one of the world's most wealthiest men, detailing his rise to power and unhappy marriages.",1.582,1988-05-01,Onassis: The Richest Man in the World,6.3,9,['Aristotle'],[-384]
119,"[35, 12]",593266,"Two women living together facing the troubles of life, clash with a foreign criminal organization that seeks to assassinate a political figure living in Egypt.",0.6,1988-05-16,The Night of Bakiza and Zaghloul’s Arrest,10.0,1,['Egypt'],[-3150]
120,[],416093,"Cut and paste ninja movie. The original was the 1988 Korean movie 용호취 starring Won Jin ""The Scorpion King"". Here some original scenes were cut and replaced with ninja scenes shot later in Hong Kong.",1.4,1989-01-01,Thunder Ninja Kids In The Golden Adventure,6.0,3,['Scorpion King'],[-3100]
121,[35],543371,"In this HBO special, comedian Martin Short appears in a series of sketches, vignettes and musical performances about Hollywood, featuring some of his classic characters like Ed Grimley, Jackie Rogers Jr., Lawrence Orbach and Troy Soren, and co-starring some of his colleagues from ""SCTV"" and ""Saturday Night Live.""",1.273,1989-01-01,"I, Martin Short, Goes Hollywood",8.0,1,['Troy '],[-3000]
122,"[18, 35]",771386,This is a fictional story of early days of cinema theaters in Iran in early 20th century in the dawn of Persian constitutional revolution. Roosi Khan and Aghaiev who are supported by ...,0.672,1989-02-01,Grand Cinema,4.0,1,"['Persia', 'Persian']","[-550, -550]"
123,[35],206699,The nightlife of young carefree friends in a wonderful 60s Rome.,1.536,1989-03-15,NightClub,4.1,4,['Rome'],[-753]
124,[12],472824,Many years ago The Angelica which was carrying gold and silver from the Portuguese to the Arab Sheykhs had been sunk in the Persian Gulf. Ahmad Beyk manages to find the place of it and is after ...,0.6,1989-04-01,The Ship Angelica,5.0,1,"['Persia', 'Persian']","[-550, -550]"
125,[53],449369,"News Attack is a 1989 Hong Kong action thriller drama film co-written and directed by Samson Chiu and starring Andy Lau, Michael Miu and Wilson Lam.",0.932,1989-05-25,News Attack,6.0,1,['Samson'],[-1118]
126,"[18, 10770]",138797,"At house of Agathon get together many intellectuals and philosophers, including Socrates, to discuss the theme of love and sex: each of them intervenes to support its argument dialogical rules, within the context symposial.",0.6,1989-07-27,Plato's Banquet,5.5,2,['Socrates'],[-469]
127,[10402],290030,"The stupendous climax to Wagner’s four-part Ring cycle is brilliantly realized by the Otto Schenk/Günther Schneider-Siemssen production and byJames Levine’s monumental conducting. The Met orchestra, chorus, and an all-star cast make this Götterdämmerung one that truly rises to the occasion. Hildegard Behrens’s Brünnhilde must be experienced to be believed, as does Matti Salminen’s richly sung, domineering Hagen. At the center of the drama is Siegfried Jerusalem as Siegfried, who does not realize he has been drawn into a plot of betrayal until it is too late. Christa Ludwig is magnetic as Waltraute and Ekkehard Wlaschiha is a compelling Alberich.",1.656,1990-05-05,Götterdämmerung,8.8,4,['Jerusalem'],[-2800]
128,[],381813,"When Marilyn Monroe died, she conspired with the Gods to be reunited with JFK in the afterlife. Director Richard Newton’s perspective on the love triangle between JFK, Jackie O., and Marilyn Monroe. When Mary Lynne (Monroe) overdoses on a bowl of Phenobarbital Cheerios, Johnny (JFK) and Jackie hop the Greyhound and head for Tijuana. They meet the philosophical Plato, who takes them on a festive romp through the circus like atmosphere of Tijuana. Along the way, he introduces them to the Greek Gods and a succession of unusual erotic acts, each of which culminates in a slo-mo re-enactment of the Zapruder film.",0.6,1990-09-01,Small White House,6.0,2,['Plato'],[-428]
129,[35],57917,"Saverio and Filippo are two friends and religious leaders of a travel agency in Rome. However, Filippo has trouble with his wife, because she finds out that he cheated on her with a comely girl named Alice.",4.211,1990-12-20,Tonight at Alice's,5.8,67,['Rome'],[-753]
130,[],504419,"The story revolves around the Egyptian era in 1968, where the university doctor (Hussein) and his wife (Mona) are arrested for their critical positions of defeat,",0.87,1991-02-12,Eka Law,7.0,1,['Egypt'],[-3150]
131,"[35, 53]",351610,Gopinatha and his friend Samson are in a fix when they find a box containing Rs. 40 lakh in cash. They try to hide it but the owner of the cash gets to know.,0.6,1991-04-20,Nagarathil Samsara Vishayam,6.0,2,['Samson'],[-1118]
132,[10402],422179,"Recorded live at ""Forest National"", Brussels (Belgium), on 29th October 1990 and ""Ahoy Sport Paleis"", Rotterdam (Netherlands), on 30th October 1990.  Tracklist  1	Feel So Different	6:19  2	The Emperor's New Clothes	4:41  3	I Want Your (Hands On Me)	4:14  4	Three Babies	4:58  5	Black Boys On Mopeds	3:40  6	Irish Ways	3:59  7	I Am Stretched On Your Grave	5:01  8	The Last Day Of Our Acquaintance	5:50  9	Nothing Compares 2 U	5:45  10	Jump In The River	5:15  11	Jerusalem	4:16  12	Troy	6:06",0.6,1991-07-16,Sinéad O'Connor: The Year Of The Horse,10.0,1,['Jerusalem'],[-2800]
133,"[35, 18, 10749]",16562,"Two former Olympians, one a figure skater and the other a hockey player, pin their hopes of one last shot at Olympic glory on one another. That is, of course, if they can keep from killing each other in the process...",10.507,1992-03-27,The Cutting Edge,7.2,243,['Olympia'],[-776]
134,"[18, 53]",619949,"Dalia is a girl belonging to one of the wealthiest families in Egypt. When the revolution of July nationalized the family's property and transformed her palace into the headquarters of the Socialist Union in the district, her parents die as a teacher and take care of her younger brother Essam, who studies engineering, but she hates the system of government and the Israeli intelligence has an opportunity to recruit them. She is forced to travel to Athens, exploiting her hatred of the regime and recruiting her as a spy to Israel, to work with great enthusiasm without telling her brother, who remains loyal to his country until he becomes an engineer, but knows nothing about the role of his suspicious sister.",0.6,1992-04-04,Fakh El-Gwases,5.0,1,['Egypt'],[-3150]
135,"[35, 18]",261024,"Saverio, a dentist, comes out as naive as usual while he falls in love with Alia, a russian immigrant he met in Rome. He must now deal with issues a guy like him would never have thought to come across.",1.004,1992-09-08,Another Life,7.0,1,['Rome'],[-753]
136,"[35, 10749]",331074,A middle class couple crisis. A love story between a young blue collar guy an a Philippine girl. The lives of four people get closer in nowadays Rome.,0.87,1993-03-11,Cominciò tutto per caso,6.0,1,['Rome'],[-753]
137,[10402],344408,"The Met production easily has the most beautiful staging, designed by Otto Schenck, who also produced the fabulous set for the Met's previous Ring cycle. Kurt Moll is a wonderful Gurnemanz, but compared to his studio recording under Karajan a decade earlier it has lost some of its original velvety body and luster. As Parsifal, Jerusalem is starting to show some wear and tear on his voice at the Met in 1992 as opposed to his prime form at Bayreuth in 1981, but is still quite good; only Placido Domingo could compete with him in the role at that time.",0.6,1993-04-07,Richard Wagner: Parsifal,10.0,1,['Jerusalem'],[-2800]
138,"[18, 36, 53]",337338,"In 1969, a group of Egyptian frogmen target and destroy two Israeli vessels in the port of Eilat during the War of Attrition.",0.62,1993-04-25,Al-Tareek Ela Eilat,7.0,1,['Egypt'],[-3150]
139,[],168792,"It's 69AD in Rome and streetwise hustler Marcus Didius Falco gets caught up in the death of the son of a man close to the new emperor, Vespasian. Hired by the victim's sister to discover the truth, Falco and his newly acquired slave, the gladiator Justus, uncover plots involving a cult which reaches into the Imperial household.",0.665,1993-06-20,Age of Treason,7.0,1,['Rome'],[-753]
140,"[35, 18]",25403,"Nanni Moretti recalls in his diary three slice of life stories characterized by a sharply ironic look: in the first one he wanders through a deserted Rome, in the second he visits a reclusive friend on an island, and in the last he has to grapple with an unknown illness.",8.162,1993-10-12,Caro diario,7.5,287,['Rome'],[-753]
141,[18],96428,"The biblical tale of Joseph is told from an Egyptian perspective in this interesting character study. In this film, Joseph is called Ram. Ram, tired of his family's backward superstitious life, and tired of being picked on by his brothers, wants to go to Egypt to study agriculture. His brothers travel with him across Sinai, but then suddenly sell him to Ozir, an Egyptian who works for a Theban military leader, Amihar. Amihar is impressed by Ram's drive and personal charm and so grants Ram some desolate land outside the capital. Ram soon finds himself a pawn in the political and sexual games between Amihar and his wife Simihit, a high priestess of the Cult of Amun.",1.817,1994-01-01,The Emigrant,5.5,4,['Egypt'],[-3150]
142,[53],288200,"Sarah LaMere had loved Michael Rome Matthews for a long time. She witnessed him marry her best friend, only to lose her along with two sons in an accident. Now that they are together at last she is devastated to learn that she can never have children. While Rome tries to accept this, Sarah believes motherhood is her only path to happiness and security with the man she loves and she becomes increasingly unbalanced. Seemingly out of nowhere children's clothes and toys appear in the house and then a strange young girl named Melissa appears, whom Sarah treats as her own child. When their landlady is horribly murdered after questioning Melissa, Rome fears the line separating reality and fantasy has been crossed.",0.769,1994-01-01,Sarah's Child,6.3,3,['Rome'],[-753]
143,[],318945,"Young friends (Jordan Chan, Moses Chan, Farini Cheung) look for happiness but find only fleeting pleasure in barhopping and one-night stands.",0.6,1994-04-08,Twenty Something,5.7,3,['Moses'],[-1250]
144,"[18, 10749]",124312,"The film follows Gabriel Angel (Rakie Ayola), a young Caribbean aviator who falls in love with the forger Duncan Stewart (Jonathan Pryce) on her journey to England. Stewart is pursued by his nemesis Rex Goodyear (John Hurt), and the group are supported by Dr Angela Bead (Vanessa Redgrave) and Miss Gwendolyn Quim (Dorothy Tutin), retired missionaries who become lovers during the voyage.",1.616,1994-05-01,Great Moments in Aviation,6.0,4,['Tut'],[-1332]
145,[18],369704,Hundred to one hundred (Persian: صدبرابرصد‎‎) is a 1995 Iranian film written and directed by Hossein Shahabi (Persian: حسین شهابی),0.6,1995-01-21,Hundred to One Hundred,10.0,1,"['Persia', 'Persian']","[-550, -550]"
146,"[28, 12]",197655,"A sultry assassin is the target of two separate operatives in this globe-trotting action flick shot on location in the Bahamas, Athens, Rome and Hong Kong.",2.182,1995-01-24,Spitfire,4.5,12,['Rome'],[-753]
147,[10402],532786,"A compilation from the independent record label Bad Vugum founded in 1987, originally based in Oulu, Finland. Bad Vugum consists of indie rock, noise rock, experimental rock, electronica, hardcore punk, and thrash metal. The label's name comes from an epithet invented by Captain Beefheart, heard uttered during his song ""Sue Egypt"". Many releases were championed by the BBC radio DJ John Peel.",0.6,1995-03-28,Bad Vugum – From B To V,6.0,1,['Egypt'],[-3150]
148,[28],65293,"Andrew Garret is a cop trying to reveal the background of secret killing fights named ""Game"". He takes part in the fights under the nickname Gladiator. One of the Game bosses, Parmenion, wants him to fight with the ancient sword that once belonged to Alexander the Great against his own fighter Mongol to recall the 2000 years old duel between Alexander and his enemy whose re-incarnations he believes to be Andrew Garrett and himself.",2.002,1995-05-20,Gladiator Cop,4.5,6,['Alexander the Great'],[-356]
149,"[18, 80]",45997,"1975: author and filmmaker Pier Paolo Pasolini's dead body, brutally beaten and ran over by his own car, lays in the outskirts of Rome. Charged with the murder, 17-year-old thug Pino Pelosi confesses having acted in self-defense during a paid sexual encounter gone awry. However, many inconsistencies start to undermine his version, suggesting that he didn't act alone. Was Pasolini also murdered for another reason?",2.048,1995-09-03,Who Killed Pasolini?,6.7,34,['Rome'],[-753]
150,"[18, 10749]",37975,The adventures and deceptions of a photographer who travels through the small villages of Sicily pretending that he is working for the big film studios in Rome.,7.532,1995-09-21,The Star Maker,7.0,130,['Rome'],[-753]
151,[18],638132,"The film revolves around the body trade in the Egyptian countryside, where there are sincerity, unification and chandeliers. The three girls of the same village are facing difficult similar circumstances. They come to the teacher to congratulate them for a job or marriage. From him while unifying his maid in one place quickly leave him.",0.6,1995-10-24,Cheap Flesh,6.0,1,['Egypt'],[-3150]
152,[18],2719,"An ordinary man is called upon by God to do the impossible in this lovingly told production of the Old Testament story. When the Pharaoh of Egypt begins to tighten the noose on his Jewish slaves, Moses (Ben Kingsley) leads them to freedom. Philip Stone, Anthony Higgins, Anton Lesser and Anita Zagaria are featured in this award-winning installment from TNT's ""greatest stories of the Bible"" series directed by Roger Young.",6.228,1995-12-20,Moses,6.4,26,"['Egypt', 'Moses']","[-3150, -1250]"
153,[35],613158,"Luca, a young man from a rich family, travels to Rome. Here he encounters Gino, who makes a living with petty theft.",0.763,1996-06-23,Giovani e belli,4.0,2,['Rome'],[-753]
154,[18],369655,The Traces of Light (Persian: رد پاي نور‎‎) is a 1996 Iranian drama film written and directed by Hossein Shahabi (Persian: حسین شهابی),0.6,1996-08-20,The Traces of Light,10.0,1,"['Persia', 'Persian']","[-550, -550]"
155,[],123505,"A Modern Affair is an independent feature directed by Vern Oakley and produced by Tribe Pictures. Starring Stanley Tucci and Lisa Eichhorn, the film's plot reverses the conventions of romantic comedies: instead of man meet woman - fall in love, marry and have baby, in this film the woman gets pregnant, then meets the father, then falls in love. Grace Rhodes (Lisa Eichhorn) is a lonely, successful executive whose biological clock is loudly ticking.",0.633,1996-09-06,A Modern Affair,5.0,1,['Rhodes'],[-292]
156,[],179264,"Biography of Egyptian singer Umm Kulthum, narrated by Omar Sharif",0.621,1996-10-09,Umm Kulthum,4.0,1,['Egypt'],[-3150]
157,"[37, 28, 35, 10751]",56281,"Isaih Turner didn’t want to be a hero-all he wanted was revenge. Orphaned when both his parents were cruelly murdered by the wealthy and powerful Cyrus Bloomington, the young Isaiah grew up with one air in mind: to find the man who killed his folks and take him down.",3.627,1996-12-14,The Cherokee Kid,5.2,13,['Cyrus'],[-550]
158,"[18, 36]",321637,"In the year 16 BCE, the people of Jerusalem are awaiting the birth of the son of Imran. Instead of the much-anticipated ""Messiah"", a girl is born to Imran and Anna. The latter names her ...",0.991,1997-01-01,Saint Mary,7.4,5,['Jerusalem'],[-2800]
159,"[35, 18]",331618,"The story of Egyptian displaced family from Ismailia after the 1967 war.Hema (Mohamed Fouad) dreams of becoming famous singer and continues the journey of success with the help of his friend(Mohamed Henedi)and his brother(Khaled Nabawy),but his brother is jealous of him and trying to drive a wedge between him and his lover(Hanan Turk).Hema back to sing in Ismailia after the return of her natural life after the 1973.",1.819,1997-01-02,Round Trip to Ismailia,4.3,4,['Egypt'],[-3150]
160,[18],369651,Tunnel 18 (Persian: تونل 18‎‎) is a 1997 Iranian Historical drama film written and directed by Hossein Shahabi (Persian: حسین شهابی),0.6,1997-02-13,Tunnel 18,10.0,1,"['Persia', 'Persian']","[-550, -550]"
161,[18],309840,"A child is confronted with the (ever young) old age of the world, its hazards, its cinema and music, shot in seven days in Rome, Fiumicino, Ciampino and Cineccità. What will happen on July 12, 1995, in Rome ? What will become of July 12, 1995, in Rome ?",1.068,1997-03-02,By Then,6.4,5,['Rome'],[-753]
162,[],470857,"The events are taking place in 1948 in the city of Port Said after the Arab defeat in Palestine, where the outbreak of cholera epidemic and where the conflict between colonialism and the Egyptian resistance.",0.6,1997-08-21,The Captain,8.0,1,['Egypt'],[-3150]
163,[18],369648,Bright Shadow (Persian: سايه روشن‎‎) is a 1997 Iranian drama film written and directed by Hossein Shahabi (Persian: حسین شهابی),0.621,1997-10-02,Bright Shadow,10.0,1,"['Persia', 'Persian']","[-550, -550]"
164,"[36, 18, 12]",58430,"David, now an old man, is still king of Israel. Among his sons, the ambitious Adonijah and the clever Solomon. The two young men are fierce rivals, since both are prospective heirs to the throne and only one can be successful.",4.375,1997-12-15,Solomon,5.9,16,['Solomon'],[-970]
165,[18],369640,Ghost (Persian: شبح‎‎) is a 1998 Iranian drama film written and directed by Hossein Shahabi (Persian: حسین شهابی),0.621,1998-04-02,Ghost,10.0,1,"['Persia', 'Persian']","[-550, -550]"
166,[18],125298,"""La Nueva Jerusalem"" is a small community of believers lead by Papá Basilio (Rabal) and Mamá Dorita (Jurado). They're waiting for the second coming of Christ, so they've abandoned the world, searching for a new spiritual life. Mamá Dorita sees in young Tomasa (Gurrola) the signals of the chosen one. The young girl will be the new leader in ""La Nueva Jerusalem"".",1.24,1998-09-16,Divine,5.2,6,['Jerusalem'],[-2800]
