Title,Release date,Time Period,Start Time,End Time,Location,genre_ids,movie_id,original_language,overview,popularity,title,video,vote_average,vote_count,genres,name,keywords,Full Location,latitude,longitude,ARS
Mayura,1975,345 - 365,345,365,India,"[28, 18]",235434,kn,"Mayura challenges an arrogant wrestler and defeats him. Though never formally trained he has only learned techniques of wrestling by observing others. As a Brahmin he is required to study Vedas yet he is deeply interested in martial arts. Ranga Jetti, the premier wrestler in Kanchi, takes him under his wing and trains him. One day while observing the training of Pallava princes Mayura gets into a fight with and thrashes Vishnugopa, the Pallava prince, earning his enmity.  Mayura has to flee Kanchi as per the advice of Ranga Jetti to escape from pursuing Pallavas. He also then learns that he is in fact the son of Raja Chandravarma, the Kadamba king who was deceitfully killed by the Pallava king, Sivaskandhavarma. Upon learning of his illustrious lineage, Mayura dedicates himself to overthrow the Pallava yoke. Returning to Banavasi in the guise of a merchant Mayura builds an army and conquers both Banavasi and the Telugu speaking regions around Srishaila, thus building a vast kingdom.",0.718,Mayura,FALSE,5.8,3,"['Action', 'Drama']","Dr. Rajkumar, Srinath, Vajramuni, T. N. Balakrishna, Manjula, K. S. Ashwath",wrestling,India,22.3511148,78.6677428,0
An Empress and the Warriors,2008,ca. 350,350,350,China,"[28, 12, 36]",14539,zh,"After the death of her father, a woman is forced to take over as empress and fight to save her kingdom.",13.362,An Empress and the Warriors,FALSE,6,81,"['Action', 'Adventure', 'History']","Kelly Chen, Donnie Yen, Leon Lai, Guo Xiaodong, Kau Jan-Hoi, Zhang Shan, Liu Wei-Hua, Peng Zhi, Chen Zhihui, Yan Jie, Zhou Bo, Zhang Jin, Deng Limin, Peng Bo, Eric Zhang, Wong Dungdung","loss of loved one, betrayal, empress, swordsman, poison dart, 4th century",中国,35.000074,104.999927,23
Augustine: The Decline of the Roman Empire,2010,354-430,354,430,Rome,[18],47145,en,"Augustine is a two-part, Italian-made mini-series about the influential theologian and church father Augustine of Hippo. The piece tells the story of his life from a teenager to his death at the age of 69.Much of the content for the scenes of him as a young and middle-aged man come from his Confessions, which is probably the earliest extant autobiography.",2.821,Augustine: The Decline of the Roman Empire,FALSE,4.9,11,['Drama'],"Alessandro Preziosi, Monica Guerritore, Franco Nero, Aglaia Szyszkowitz, Katy Louise Saunders, Wenanty Nosul, Alexander Held, Cosimo Fusco, Dietrich Hollinderbäumer, Francesca Cavallin, Götz Otto, Johannes Brandrup, Lech Mackiewicz, Sebastian Ströbel, Serena Rossi, Sonia Aquino, Vincenzo Alfieri, Dominic Atherton, Alessandro Borghi, Valerio Colangelo, Diego Laurenti Sellers, Adrian Moore, Jannis Niewöhner, Krzysztof Pieczyński, Matteo Urzia, Jerzy Zelnik, Cesare Bocci, Andrea Giordana, Sana Kassous, Larissa Volpentesta",,"Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,16
Agora,2009,360-415,360,415,"alexandria, egypt","[12, 18, 36]",26428,en,"A historical drama set in Roman Egypt, concerning philosopher Hypatia of Alexandria and her relationship with her slave Davus, who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of Christianity.",16.005,Agora,FALSE,7,1127,"['Adventure', 'Drama', 'History']","Rachel Weisz, Max Minghella, Oscar Isaac, Ashraf Barhom, Michael Lonsdale, Rupert Evans, Homayoun Ershadi, Sami Samir, Richard Durden, Omar Mostafa, Manuel Cauchi, Oshri Cohen, Clint Dyer, Yousef Sweid, Amber Rose Revah, Charles Thake, Harry Borg, George Harris, Sylvester Morand, Jordan Kiziuk, Christopher Dingli, Joseph Camilleri, Charles Sammut, Alan Meadows, Paul Portelli, Alan Paris, John Montanaro, Malcolm Ellul, Ray Mangion, Mary Rose Bonello, André Agius, Frederick Testa, Pierre Stafrace, Clare Agius, Wesley Ellul, Nikovich Sammut, Philip Mizzi, John Suda, Angele Galea, Malcolm Galea, Paul Celia, Edward Caruana Galizia, Guilherme de Franco","christianity, philosophy, egypt, new love, cult, historical figure, sword fight, ancient world, destiny, hypatia, misogyny, persecution, library of alexandria, atheism, political unrest, impossible love, false history, power relations, unfulfillment, master servant relationship, love and romance, unfulfilled love, 5th century","الإسكندرية, 21519, مصر",31.199004,29.894378,25
Mulan Joins the Army,1939,ca. 567-571,386,534,China,"[10752, 36]",420564,zh,"This movie is based on the famous Chinese folklore that is more than one and a half millennium old. The same folklore was what the Disney animation Mulan is based on, and similarly, it was what many Chinese movies/operas/plays based on.",0.6,Mulan Joins the Army,FALSE,5,1,"['War', 'History']","Nancy Wan-Seung Chan, Xi Mei, Langen Han, Jiqun Liu, Zhang Zhi-Zhi, Xiucen Yin, Yiu Kwang-Chao, Jingling Hong, Jianfei He",,中国,35.000074,104.999927,0
St. Patrick: The Irish Legend,2000,387-493,387,493,Ireland,"[18, 12, 14, 36, 10770]",123701,en,"A young Christian boy attends a druid worship that is attacked by invading Irish tribes. Taken captive, he is taken back to Ireland to become a slave. Enduring many hardships, he finds comfort and eventually salvation in his faith. After several years, he escapes back to England, where he joins a convent to prove his faith. His greatest desire is to return to Ireland to convert the Irish to Christianity. Years later, he is given the opportunity. Upon setting foot on the Irish soil, all snakes are aitomatically driven from the land. He then overcomes many obstacles, including disagreements with the British Cardinal (Malcolm McDowell), to fulfill his destiny and ultimately being given Sainthood.",1.632,St. Patrick: The Irish Legend,FALSE,5.3,3,"['Drama', 'Adventure', 'Fantasy', 'History', 'TV Movie']","Patrick Bergin, Luke Griffin, Alan Bates, Susannah York, Malcolm McDowell, Eamonn Owens, Chris McHallem, Michael Caven, Stephen Brennan, Adam Goodwin, Peter Byrne, Michael Carven, Ned Dennehy, James Flynn, Richard Gibson, Maria Hayden, Sean McDonagh, Pat McGrath, Emily Nagle, Niall O'Brien, Bairbre O'Toole, Ryan J-W Smith, Alan Stanford","ireland, saint, 5th century",Éire / Ireland,52.865196,-7.9794599,21
Roar,1997,400,400,400,Ireland,"[36, 14]",800709,en,"In 5th century Ireland, a young Celtic chieftain and his allies fight against Roman encroachment, the manipulative pro-Roman puppet ruler of Ireland, Queen Diana, and her immortal adviser who seeks the biblical Spear of Longinus.",0.657,Roar,FALSE,10,1,"['History', 'Fantasy']","Heath Ledger, Lisa Zane, Sebastian Roché, Vera Farmiga, John Saint Ryan, Alonzo Greer, Mick Roughan, Melissa George, Carl Snell, Andrew Buchanan, Peter McCauley, Patrick Dickson",,Éire / Ireland,52.865196,-7.9794599,10
Sign of the Pagan,1954,406-453,406,453,Rome,"[18, 36, 10752]",205331,en,"Roman centurion Marcian is captured by Attila the Hun en route to Constantinople, but escapes. On arrival, he finds the eastern Roman emperor Theodosius plotting with Attila to look the other way while the latter marches against Rome. But Marcian gains the favor of Pulcheria, lovely sister of Theodosius, who favors a united Empire.",3.168,Sign of the Pagan,FALSE,5,3,"['Drama', 'History', 'War']","Jeff Chandler, Jack Palance, Ludmilla Tchérina, Rita Gam, Jeff Morrow, George Dolenz, Eduard Franz, Allison Hayes, Alexander Scourby, Howard Petrie, Michael Ansara, Leo Gordon, Moroni Olsen, Fred Nurney, Pat Hogan, Sara Shane, Robert Bice","christianity, ancient rome, western roman empire, attila, huns, barbarian, 5th century, eastern roman empire, christianity, ancient rome, western roman empire, attila, huns, barbarian, 5th century, eastern roman empire","Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,32
Attila,2001,406-453,406,453,Rome,"[10752, 18, 10770]",594130,fr,A vengeful beauty foils the plans of the bloodthirsty Hun warrior to conquer Rome.,2.873,Attila,FALSE,7.4,32,"['War', 'Drama', 'TV Movie']","Gerard Butler, Powers Boothe, Simmone Jade Mackinnon, Reg Rogers, Alice Krige, Pauline Lynch, Steven Berkoff, Tommy Flanagan, Andrew Pleavin",opera,"Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,20
The Voyage Home,2004,415,415,415,Rome,[36],450529,it,"De Reditu takes place in 415 AD- five years after the devestating sack of Rome by the Visigoths- and tells the true story of Claudio Rutilio Namaziano, the last great pagan poet of a declining Roman Empire. A nobleman frustrated by the dominance of Christianity (which he blames for Rome's troubles) and a failed love affair, Claudio embarks on a sea journey to his native Gaul in order to raise an army and bring glory back to the Empire.",0.915,The Voyage Home,TRUE,0,0,['History'],"Rodolfo Corsato, Caterina Deregibus, Romuald Klos, Paolo Lorimer, Claudio Spadaro, Roberto Herlitzka",,"Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,10
Ring of the Nibelungs,2004,450,450,450,Germany,[28],11188,en,"In this swords-and-sorcery tale, good-hearted blacksmith Eyvind hides away infant Prince Siegfried after two malevolent kings murder his father. But a fiery meteor sent by the gods reveals Siegfried's destiny, sending him on the quest of a lifetime. To save a crumbling kingdom claim the heart of his true love, he'll have to slay the nefarious dragon, Fafnir.",12.25,Ring of the Nibelungs,FALSE,6.3,100,['Action'],"Benno Fürmann, Alicia Witt, Julian Sands, Samuel West, Max von Sydow, Robert Pattinson, Mavie Hörbiger, Sean Higgs, Ralf Moeller, Kristanna Loken, Aletta Bezuidenhout, Götz Otto, Tamsin MacCarthy, Leonard Moss","jealousy, blacksmith, treasure, new love, sword, legend, viking, invulnerability, nibelungen, murder, royalty, dragon, super power, denunciation",Deutschland,51.0834196,10.4234469,21
King Arthur,2004,452-467,452,467,UK,"[12, 10752, 36, 28]",9477,en,"The story of the Arthurian legend, based on the 'Sarmatian hypothesis' which contends that the legend has a historical nucleus in the Sarmatian heavy cavalry troops stationed in Britain, and that the Roman-British military commander, Lucius Artorius Castus is the historical person behind the legend.",35.922,King Arthur,FALSE,6.3,2199,"['Adventure', 'War', 'History', 'Action']","Clive Owen, Ioan Gruffudd, Keira Knightley, Mads Mikkelsen, Joel Edgerton, Hugh Dancy, Ray Winstone, Stephen Dillane, Ray Stevenson, Til Schweiger, Stellan Skarsgård, Sean Gilder, Ken Stott, Charlie Creed-Miles, David Murray, Ned Dennehy, Phelim Drew, Des Braiden, Bosco Hogan, David Wilmot, Lochlainn O'Mearain, Ivano Marescotti, Clive Russell, Graham McTavish, Dessie Gallagher, Elliot Henderson-Boyle, Owen Teale, Dawn Bradfield","roman empire, merlin, king arthur, battle, 5th century, northumbria, hadrian’s wall",United Kingdom,54.7023545,-3.2765753,37
The God King,1974,473,473,473,Sri Lanka,"[18, 36]",631791,en,"Epic tale set in 5th century Sri Lanka, following the battle for the throne between Kassapa and his father King Dhatusena",0.626,The God King,FALSE,0,0,"['Drama', 'History']","Leigh Lawson, Oliver Tobias, Geoffrey Russell, Ravindra Randeniya",,ශ්‍රී ලංකාව இலங்கை,7.5554942,80.7137847,4
The Last Legion,2007,476-490,476,490,UK,"[28, 12, 14, 10752]",9703,en,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",17.892,The Last Legion,FALSE,5.6,653,"['Action', 'Adventure', 'Fantasy', 'War']","Colin Firth, Ben Kingsley, Aishwarya Rai Bachchan, Peter Mullan, Kevin McKidd, John Hannah, Iain Glen, Thomas Brodie-Sangster, Rupert Friend, Nonso Anozie, Owen Teale, Alexander Siddig, Robert Pugh, James Cosmo, Harry Van Gorkum, Murray McArthur, Lee Ingleby, Beata Ben Ammar, Rory Finn, Ferdinand Kingsley, Andrew Westfield, Alexandra Thomas-Davies, Robert Brazil","roman empire, sword, emperor, ancient rome, druid, western roman empire, ancient world, excalibur, 1st century, britannia",United Kingdom,54.7023545,-3.2765753,48
"Theodora, Slave Empress",1954,500-548,500,548,Istanbul,"[36, 10749]",280957,it,"Teodora, a Roman courtesan and former slave girl, marries the Roman emperor Justinian and assumes the throne as Empress of Rome. But the divide between nobility and slave is too great. Teodora seeks justice for her people, and revolution and armed conflict erupt in both Byzantium and Rome.",2.88,"Theodora, Slave Empress",FALSE,6,8,"['History', 'Romance']","Gianna Maria Canale, Georges Marchal, Henri Guisol, Roger Pigaut, Renato Baldini, Irene Papas, Olga Solbelli, Alessandro Fersen, Nerio Bernardi, Carlo Sposito, Loris Gizzi, Mario Siletti, Giovanni Fagioli, Oscar Andriani, Umberto Silvestri",,"İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34126, Türkiye",41.0091982,28.9662187,34
Hagbard and Signe,1967,500,500,500,Denmark,"[36, 18]",198783,da,"The mountain slopes of Iceland are shown to excellent advantage in the Scandinavian epic Hagbard and Signe. The story, based on an ancient legend, concerns Hagbard (Oleg Vidov), the son of a slain Norse king. Seeking revenge against the rival clan responsible for the killing, Hagbard calms down long enough to establish a truce. He also falls in love with Signe (Gitte Haenning), daughter of his onetime enemy. Signe's former beau, sizzling with jealousy, breaks the truce and makes it appear that Hagbard was responsible. The young prince escapes, but returns disguised as a woman to his beloved Signe. Thanks to a treacherous handmaiden, both lovers are imprisoned and sentenced to be hanged. Rather than undergo this final ignominy, Hagbard and Signe enter into a suicide pact. A Danish/ Swedish/ Icelandic coproduction, Hagbard and Signe was released throughout Scandinavia as Den Rode Kappe, Den Rodda Kappan and Rautha Skikkjan.",1.802,Hagbard and Signe,FALSE,5.7,6,"['History', 'Drama']","Oleg Vidov, Gitte Hænning, Eva Dahlbeck, Birgitte Federspiel, Lisbeth Movin, Johannes Meyer, Håkan Jahnberg, Manfred Reddemann, Henning Palner, Gisli Alfredsson, Folmer Rubæk, Borgar Garðarsson, Jörgen Lantz, Frederik Tharaldsen, Sisse Reingaard, Gunnar Björnstrand","king, icelandic",Danmark,55.670249,10.3333283,6
Sword of the Conqueror,1961,567-572,567,572,italy,"[36, 12]",187117,it,"Alboino, the Lombard ruler, wants to marry the daughter of a neighboring king, but she loves another. Her father arranges the marriage to Alboino, which he believes will be beneficial to him, only to have Alboino kill him and leave Amalchi, his daughter's real love, beaten and left for dead. Amalchi recovers to lead a revolt against the murderous Alboino and reclaim his woman.",4.213,Sword of the Conqueror,FALSE,0,0,"['History', 'Adventure']","Jack Palance, Eleonora Rossi Drago, Guy Madison, Carlo D'Angelo, Edy Vessel, Andrea Bosic, Ivan Palance, Vittorio Sanipoli","sword and sandal, peplum, lombard, 6th century",Italia,42.6384261,12.674297,13
Goliath and the Barbarians,1959,568,568,568,italy,"[12, 28]",158157,it,"An Italian strong man (Steve Reeves) repels a Germanic king's (Bruce Cabot) invaders, except for one's dancing daughter (Chelo Alonso).",1.815,Goliath and the Barbarians,FALSE,5.1,6,"['Adventure', 'Action']","Steve Reeves, Chelo Alonso, Bruce Cabot, Giulia Rubini, Arturo Dominici, Livio Lorenzon",strong man,Italia,42.6384261,12.674297,21
The Message,1976,570-632,570,632,Mecca,"[12, 18, 28, 36]",26842,en,Handsomely-mounted historical epic concerns the birth of the Islamic faith and the story of the prophet Mohammed.,12.838,The Message,FALSE,7.3,250,"['Adventure', 'Drama', 'Action', 'History']","Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka, Michael Forest, Garrick Hagon, Nicholas Amer, Damien Thomas, André Morell, Martin Benson, Robert Brown, Rosalie Crutchley, Bruno Barnabe, Neville Jason, John Bennett, Donald Burton, Earl Cameron, George Camiller","islam, angel, middle east, muslim, epic, religion, historical fiction, arab, mohammed, mecca, 7th century","محافظة مكة المكرمة, منطقة مكة المكرمة, السعودية",21.420847,39.826869,46
Hamlet,1948,600,600,600,Denmark,[18],23383,en,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier’s Hamlet continues to be the most compelling version of Shakespeare’s beloved tragedy. Olivier is at his most inspired—both as director and as the melancholy Dane himself—as he breathes new life into the words of one of the world’s greatest dramatists.",9.758,Hamlet,FALSE,7.5,181,['Drama'],"Laurence Olivier, Jean Simmons, John Laurie, Esmond Knight, Anthony Quayle, Niall MacGinnis, Harcourt Williams, Patrick Troughton, Tony Tarver, Peter Cushing, Stanley Holloway, Russell Thorndike, Basil Sydney, Eileen Herlie, Norman Wooland, Felix Aylmer, Terence Morgan, Anthony Bushell, Patricia Davidson, Doreen Lawrence, Christopher Lee, Desmond Llewelyn, Victor Lucas, Patrick Macnee","father murder, based on play or musical, fratricide",Danmark,55.670249,10.3333283,77
Hamlet,1964,600,600,600,Denmark,[18],71317,ru,"Shakespeare's 17th century masterpiece about the ""Melancholy Dane"" was given one of its best screen treatments by Soviet director Grigori Kozintsev. Kozintsev's Elsinore was a real castle in Estonia, utilized metaphorically as the ""stone prison"" of the mind wherein Hamlet must confine himself in order to avenge his father's death. Hamlet himself is portrayed (by Innokenti Smoktunovsky) as the sole sensitive intellectual in a world made up of debauchers and revellers. Several of Kozintsev directorial choices seem deliberately calculated to inflame the purists: Hamlet's delivers his ""To be or not to be"" soliloquy with his back to the camera, allowing the audience to fill in its own interpretations.",3.479,Hamlet,FALSE,7.6,34,['Drama'],"Innokentiy Smoktunovskiy, Anastasiya Vertinskaya, Mikhail Nazvanov, Elza Radzina, Yuriy Tolubeev, Igor Dmitriev, Vadim Medvedev, Vladimir Erenberg, Stepan Oleksenko, Grigori Gaj, Ants Lauter, Viktor Kolpakov",,Danmark,55.670249,10.3333283,0
Lovespell,1981,600,600,600,Ireland,"[18, 14]",143328,en,"Romantic tragedy, the story of Tristan and Isolde.",0.612,Lovespell,FALSE,3,2,"['Drama', 'Fantasy']","Richard Burton, Kate Mulgrew, Nicholas Clay, Cyril Cusack, Geraldine Fitzgerald, Niall Tóibín, Diana Van der Vlis, Niall O'Brien, Kathryn Dowling, John Jo Brooks, Trudy Hayes, John Scanlon, Bobby Johnson, John Labine","love triangle, cornwall, england, middle ages",Éire / Ireland,52.865196,-7.9794599,12
Grendel Grendel Grendel,1981,600,600,600,Denmark,"[16, 14]",136994,en,"This is an animated story covering the ancient legend of Beowulf, as narrated by Grendel himself, the ""monster"" in the legend. Aimed more at adults than children, this version holds some interesting twists on the traditional tale, and is based on a novel by American critic and academic John Gardner.",0.811,Grendel Grendel Grendel,FALSE,4.8,4,"['Animation', 'Fantasy']","Peter Ustinov, Keith Michell, Arthur Dignam, Ed Rosser, Alison Bird","mythical creature, giant monster",Danmark,55.670249,10.3333283,13
Fire and Sword,1982,600,600,600,Ireland,"[10749, 12]",550724,de,"The young knight Tristan is injured in a fight in Ireland and cared for by the beautiful Isolde. He falls in love with her, unaware that she is the daughter of the Irish king.",1.4,Fire and Sword,FALSE,5,3,"['Romance', 'Adventure']","Christoph Waltz, Antonia Preser, Peter Firth, Leigh Lawson, Kurt Raab, Vladek Sheybal",,Éire / Ireland,52.865196,-7.9794599,11
Beowulf & Grendel,2005,600,600,600,Denmark,"[28, 12, 18, 14]",5471,en,"The blood-soaked tale of a Norse warrior's battle against the great and murderous troll, Grendel. Heads will roll. Out of allegiance to the King Hrothgar, the much respected Lord of the Danes, Beowulf leads a troop of warriors across the sea to rid a village of the marauding monster.",12.377,Beowulf & Grendel,FALSE,5.7,165,"['Action', 'Adventure', 'Drama', 'Fantasy']","Gerard Butler, Spencer Wilding, Stellan Skarsgård, Ingvar E. Sigurðsson, Hringur Ingvarsson, Gunnar Eyjólfsson, Tony Curran, Philip Whitchurch, Ronan Vibert, Rory McCann, Martin Delaney, Ólafur Darri Ólafsson, Steinunn Ólína Þorsteinsdóttir, Sarah Polley, Eddie Marsan, Gísli Örn Garðarsson","hero, mythology, nordic mythology, mythical creature, viking, swordsman, mythological beast, norse mythology, sword and sorcery, 6th century, beowulf, hero, mythology, nordic mythology, mythical creature, viking, swordsman, mythological beast, norse mythology, sword and sorcery, 6th century, beowulf, hero, mythology, nordic mythology, mythical creature, viking, swordsman, mythological beast, norse mythology, sword and sorcery, 6th century, beowulf",Danmark,55.670249,10.3333283,22
Tristan & Isolde,2006,600,600,600,Ireland,"[18, 10749, 12, 28]",9044,en,An affair between the second in line to Britain's throne (Franco) and the princess of the feuding Irish (Myles) spells doom for the young lovers.,14.467,Tristan & Isolde,FALSE,6.7,673,"['Drama', 'Romance', 'Adventure', 'Action']","James Franco, Sophia Myles, Rufus Sewell, David O'Hara, Mark Strong, Henry Cavill, Bronagh Gallagher, Ronan Vibert, Lucy Russell, J. B. Blanc, Graham Mullins, Leo Gregory, Dexter Fletcher, Richard Dillane, Hans Martin Stier, Thomas Morris, Jamie Thomas King, Wolfgang Müller, Cheyenne Rushing, Barbora Kodetová, Isobel Moynihan, Thomas Brodie-Sangster, Gordon Truefitt, Myles Taylor, Jack Montgomery, Marek Vašut, David Fisher, Bronwen Davies, Philip O'Sullivan, Nevan Finegan, Jón Ólafsson, Todd Kramer, Winter Ave Zoli, Miroslav Šimůnek, Kevin Flood","in love with enemy, castle, lovers, hostility, revenge, murder, knight, battle, middle ages, 6th century",Éire / Ireland,52.865196,-7.9794599,38
Beowulf,2007,600,600,600,Denmark,[],606386,en,"Since 1990, Benjamin Bagby has been performing the great epic Beowulf at major festivals and venues around the world. This remarkable performance is presented on DVD, beautifully filmed by the award-winning Swedish director Stellan Olsson. While Beowulf has come down to us through literature as a written poem, the epic's pre-literate medieval audience would have known it through the performance of a scop, a bardic storyteller, as Bagby presents himself here. In this one-man tour de force, Bagby accompanies himself on an Anglo-Saxon harp. Using the entire range of his voice, he delivers this gripping tale in Old English, as it could have been experienced more than one thousand years ago. This performance speaks to the lovers of Beowulf and the oral epic, early music enthusiasts, Tolkien fans, medievalists, and anyone searching for virtuoso storytelling or a glimpse into the fascinating beginnings of the English language.",0.6,Beowulf,FALSE,0,0,[],Benjamin Bagby,,Danmark,55.670249,10.3333283,0
Grendel,2007,600,600,600,Denmark,"[14, 10770]",72653,en,"King Higlack of the Gauths entrusts prince Finn and a fire ball weapon to his champion, slayer Beowulf. They lead twelve men on a mission to help king Hrothgar of the Danes, whose once glorious realm is terrorized by the undefeated monster Grendel. The task is made more difficult as Hrothgar kept gruesome secrets.",3.152,Grendel,FALSE,3.6,14,"['Fantasy', 'TV Movie']","Chris Bruno, Marina Sirtis, Michael J. Minor, Chuck Hittinger, Alexis Kendra, Ben Cross, Maxim Genchev, Atanas Srebrev, Assen Blatechki, Andrey Slabakov, Harry Anichkin, Raicho Vasilev, Ivo Simeonov, Ruslan Kupenov, Todor Chapkanov, Vlado Mihailov, George Zlatarev, Ivaylo Geraskov","viking, sword and sorcery, beowulf, viking, sword and sorcery, beowulf",Danmark,55.670249,10.3333283,5
Beowulf,2007,600,600,600,Denmark,"[12, 28, 16]",2310,en,"A 6th-century Scandinavian warrior named Beowulf embarks on a mission to slay the man-like ogre, Grendel.",31.398,Beowulf,FALSE,5.8,2272,"['Adventure', 'Action', 'Animation']","Ray Winstone, Angelina Jolie, Anthony Hopkins, John Malkovich, Robin Wright, Brendan Gleeson, Crispin Glover, Alison Lohman, Paul Baker, John Bilezikjian, Rod D. Harbour, Brice Martinet, Sonje Fortag, Sharisse Baker-Bernard, Charlotte Salt, Julene Renee, Greg Ellis, Rik Young, Sebastian Roché, Leslie Zemeckis, Woody Schultz, Tyler Steelman, Nick Jameson, Shay Duffin, Costas Mandylor, Chris Coppola, Dominic Keating, Jacquie Barnbrook, Fredrik Hiller, Daniel D. McGrew, Alan Jones Silva, Kevin Dorman, Richard Burns, Jared Weber, Tom West Jr., Chris Mala, Tim Trobec, Camille Lannan, Michael Lofgren, Rob McCabe, Larkin Campbell, Chris Cummins, John Littlefield, Shawn Driscoll, Amy Esacove, Emily Johnson, Nadine Stenovitch, Anne Marie Wilson, Fred Tatasciore, Holly Duff, Neil Dickson, Peter Lavin, Matthew A. Ward, Peter Dennis, Keith Kraft","denmark, nordic mythology, lie, pride and vanity, folk hero, human weakness, viking, alienation, festival hall, sin, royalty, curse, battle, ancient world, based on song, poem or rhyme, adult animation, motion capture, 6th century, beowulf",Danmark,55.670249,10.3333283,26
Shaolin Temple,1982,619-621,619,621,China,[28],10275,cn,"The Tang emperor is betrayed by one of his generals, who installs himself as emperor in the East Capital. The son of one of his slave workers escapes to the Shaolin Temple, learns kung fu, and sets out to kill the traitor who killed his father.",10.626,Shaolin Temple,FALSE,6.8,80,['Action'],"Jet Li, Yue Hoi, Yu Cheng-Hui, Ding Laam, Woo Gin-Keung, Sun Jian-Kui, Lau Waai-Leung, Ji Chun-Hua, Zhang Jian-Wen, Yan Di-Hua, Wong Kwong-Kuen, Du Chuan-Yang, Chui Chi-Keung, Cham Fung, Pan Han-Guang","loss of loved one, martial arts, kung fu, monastery",中国,35.000074,104.999927,4
The Great Battle,2018,645,645,645,Korea,"[10752, 36, 28]",535389,ko,"Kingdom of Goguryeo, ancient Korea, 645. The ruthless Emperor Taizong of Tang invades the country and leads his armies towards the capital, achieving one victory after another, but on his way is the stronghold of Ansi, protected by General Yang Man-chu, who will do everything possible to stop the invasion, even if his troops are outnumbered by thousands of enemies.",11.181,The Great Battle,FALSE,7.3,89,"['War', 'History', 'Action']","Jo In-sung, Nam Joo-hyuk, Park Sung-woong, Bae Sung-woo, Um Tae-goo, Kim Seol-hyun, Park Byung-eun, Oh Dae-hwan, Jung Eun-chae, Yu Oh-seong, Jang Gwang, Sung Dong-il, Yeo Hoi-hyeon, Jung Ji-hoon, Jung In-gyeom, Ju Seok-tae, Shin Yoo-ram, Stephanie Lee, Bang Soo-hyung, Yeom Moon-gyeong, Jung Yi-jae","siege, tang dynasty, fortress, ancient korea, chinese invasion of korea, kingdom of goguryeo, korea, tang dinasty, china, stronghold, 7th century",대한민국,36.638392,127.6961188,6
Once Upon a Time in a Battlefield,2003,660,660,660,Korea,"[36, 10752, 35]",147704,ko,"Set in the 7th century AD during the Korean peninsula's division into three perpetually warring kingdoms, Once Upon A Time In A Battlefield focuses on the Shilla's king Kim Choon-chu efforts to conquer his rivals: Koguryo and Baekche. To achieve this goal, he allies with mainland China's Tang empire, the superpower of the era, and together the two polities plan to attack first the weakest Baekche at its main fortress of Hwangsanbul, guarding the only easy access to the mountainous interior. But the fortress commander General Kye Baek (Park Joong-hoon) will be resisting to the end...This comedy relays on clash between ancient time and modern language combined with irony and distance to the war.",1.44,Once Upon a Time in a Battlefield,FALSE,6.2,6,"['History', 'War', 'Comedy']","Jung Jin-young, Park Joong-hoon, Lee Moon-sik, Lee Won-jong, Kim Byung-chul, Kim Sun-a, Ryu Seung-su, Kim Seung-woo, Woo Hyeon, Kim Sang-won, Shin Hyun-joon, Go Gyu-pil, Shin Jung-geun, Na Hae-ryung, Jung Hae-kyun, Lee Sang-hun","ancient korea, kingdom of goguryeo, korea, 7th century, silla, baekje",대한민국,36.638392,127.6961188,2
Redbad,2018,c.680-719,680,719,Frisia,"[12, 36, 10752, 18]",485296,nl,"In the year of 754 AD, during a time of epic battles and bloodshed, the legend of the pagan warrior king, Rebad, is born, but so is a new weapon against his people: Christianity. Redbad must ultimately unite a Viking army powerful enough to defeat the seemingly invincible Franks.",16.636,Redbad,FALSE,6.4,137,"['Adventure', 'History', 'War', 'Drama']","Jonathan Banks, Lisa Smit, Søren Malling, Gijs Naber, Derek de Lint, Egbert Jan Weeber, Huub Stapel, Renée Soutendijk, Loes Haverkort, Britte Lagcher, Mark van Eeuwen, Camilla Gottlieb, Adam Ild Rohweder, Daphne Wellens, Tibo Vandenborre, Martijn Fischer, Jack Wouterse, Birgit Schuurman, Teun Kuilboer, Peter Faber, Aus Greidanus, Marieke Heebink, Mike Weerts, Pieter Embrechts, Morten Rose, Simon Stenspil, Gène Bervoets",,"Fryslân, Nederland",53.0923689,5.777043,13
